2017-07-27 18:51:04,923 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742205_1381, duration(ns): 311877251
2017-07-27 18:51:05,221 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742206_1382, duration(ns): 287020783
2017-07-27 18:51:05,512 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742207_1383, duration(ns): 284875412
2017-07-27 18:51:05,837 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742208_1384, duration(ns): 318329961
2017-07-27 18:51:06,175 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742209_1385, duration(ns): 330561501
2017-07-27 18:51:06,507 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742210_1386, duration(ns): 324295212
2017-07-27 18:51:06,805 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742211_1387, duration(ns): 290853846
2017-07-27 18:51:07,097 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742212_1388, duration(ns): 285573779
2017-07-27 18:51:07,411 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742213_1389, duration(ns): 307263773
2017-07-27 18:51:07,697 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742214_1390, duration(ns): 281429652
2017-07-27 18:51:07,988 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47714, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_827708685_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073742215_1391, duration(ns): 281714000
