2017-07-27 15:06:41,093 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741889_1065, duration(ns): 307127067
2017-07-27 15:06:41,394 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741890_1066, duration(ns): 291805861
2017-07-27 15:06:41,681 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741891_1067, duration(ns): 281518080
2017-07-27 15:06:41,966 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741892_1068, duration(ns): 279878153
2017-07-27 15:06:42,255 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741893_1069, duration(ns): 283929994
2017-07-27 15:06:42,533 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741894_1070, duration(ns): 274657059
2017-07-27 15:06:42,821 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741895_1071, duration(ns): 284575451
2017-07-27 15:06:43,105 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741896_1072, duration(ns): 278795345
2017-07-27 15:06:43,443 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741897_1073, duration(ns): 334770753
2017-07-27 15:06:43,730 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741898_1074, duration(ns): 280887574
2017-07-27 15:06:44,025 DEBUG org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /192.168.50.14:9866, dest: /192.168.50.14:47024, bytes: 676331520, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1943227127_1, offset: 0, srvID: 7ab73c7d-a782-4388-bdf6-0b7b79b13ca9, blockid: BP-1486068274-192.168.50.7-1501068641236:blk_1073741899_1075, duration(ns): 284724130
